file,dcom,loc,0.2<dcom,0.2<%dcom,loc<200,%loc<200
\jfreechart-master\src/main/java/module-info.java,0.069767445,40,0,0.994134897,1,0.905180841
\jfreechart-master\src/main/java/org/jfree/chart/annotations/AbstractAnnotation.java,0.65656567,68,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/AbstractXYAnnotation.java,0.5860215,77,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/Annotation.java,0.877193,7,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/CategoryAnnotation.java,0.8333333,10,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java,0.4923077,198,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java,0.5104167,235,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/CategoryTextAnnotation.java,0.5,123,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/package-info.java,0.75,1,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/TextAnnotation.java,0.56369424,137,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYAnnotation.java,0.828125,11,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYAnnotationBoundsInfo.java,0.890625,7,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java,0.4853801,176,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java,0.52537316,159,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYDrawableAnnotation.java,0.47037038,143,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java,0.50735295,134,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java,0.45619336,180,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java,0.48987854,252,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYPolygonAnnotation.java,0.46728972,171,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYShapeAnnotation.java,0.44117647,152,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYTextAnnotation.java,0.516295,282,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYTitleAnnotation.java,0.40947077,212,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/api/HorizontalAlignment.java,0.875,6,1,,1,
