file,class,type,dit,lcom*,DIT<5,%DIT<5,lcom*<0.2,%lcom*<0.2
\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,class,1,0.44444445,1,0.957854406,0,0.528735632
\jfreechart\src\main\java\org\jfree\chart\labels\StandardPieSectionLabelGenerator.java,org.jfree.chart.labels.StandardPieSectionLabelGenerator,class,2,0.77777773,1,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\xy\VectorRenderer.java,org.jfree.chart.renderer.xy.VectorRenderer,class,3,0.6666667,1,,0,
\jfreechart\src\main\java\org\jfree\chart\axis\CategoryTick.java,org.jfree.chart.axis.CategoryTick,class,2,0.33333334,1,,0,
\jfreechart\src\test\java\org\jfree\chart\labels\StandardXYSeriesLabelGeneratorTest.java,org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest,class,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\plot\flow\FlowPlotTest.java,org.jfree.chart.plot.flow.FlowPlotTest,class,1,0.26666668,1,,0,
\jfreechart\src\main\java\org\jfree\chart\renderer\xy\DeviationRenderer.java,org.jfree.chart.renderer.xy.DeviationRenderer$State,innerclass,4,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\labels\BubbleXYItemLabelGenerator.java,org.jfree.chart.labels.BubbleXYItemLabelGenerator,class,2,0.70000005,1,,0,
\jfreechart\src\main\java\org\jfree\data\resources\DataPackageResources.java,org.jfree.data.resources.DataPackageResources,class,3,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\swing\editor\DefaultLogAxisEditor.java,org.jfree.chart.swing.editor.DefaultLogAxisEditor,class,2,0.2857143,1,,0,
\jfreechart\src\main\java\org\jfree\data\time\Minute.java,org.jfree.data.time.Minute,class,2,0.74431825,1,,0,
\jfreechart\src\test\java\org\jfree\data\function\PolynomialFunction2DTest.java,org.jfree.data.function.PolynomialFunction2DTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\data\general\ValueDataset.java,org.jfree.data.general.ValueDataset,interface,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\plot\compass\MeterNeedle.java,org.jfree.chart.plot.compass.MeterNeedle,class,1,0.8076923,1,,0,
\jfreechart\src\main\java\org\jfree\chart\plot\dial\StandardDialRange.java,org.jfree.chart.plot.dial.StandardDialRange,class,2,0.73376614,1,,0,
\jfreechart\src\test\java\org\jfree\chart\renderer\xy\ClusteredXYBarRendererTest.java,org.jfree.chart.renderer.xy.ClusteredXYBarRendererTest,class,1,0.71428573,1,,0,
\jfreechart\src\main\java\org\jfree\data\general\AbstractSeriesDataset.java,org.jfree.data.general.AbstractSeriesDataset,class,2,1,1,,0,
\jfreechart\src\main\java\org\jfree\chart\plot\dial\DialPointer.java,org.jfree.chart.plot.dial.DialPointer$Pointer,innerclass,3,0.5769231,1,,0,
\jfreechart\src\main\java\org\jfree\data\RangeInfo.java,org.jfree.data.RangeInfo,interface,1,0,1,,1,
\jfreechart\src\test\java\org\jfree\chart\entity\XYItemEntityTest.java,org.jfree.chart.entity.XYItemEntityTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\text\TextFragment.java,org.jfree.chart.text.TextFragment,class,1,0.6952381,1,,0,
\jfreechart\src\test\java\org\jfree\chart\BarChartTest.java,org.jfree.chart.BarChartTest,class,1,0.16666667,1,,1,
\jfreechart\src\main\java\org\jfree\chart\labels\StandardCrosshairLabelGenerator.java,org.jfree.chart.labels.StandardCrosshairLabelGenerator,class,1,0.35714287,1,,0,
\jfreechart\src\test\java\org\jfree\chart\labels\StandardPieToolTipGeneratorTest.java,org.jfree.chart.labels.StandardPieToolTipGeneratorTest,class,1,0,1,,1,
\jfreechart\src\main\java\org\jfree\chart\plot\pie\PiePlotState.java,org.jfree.chart.plot.pie.PiePlotState,class,2,0.8952381,1,,0,
\jfreechart\src\test\java\org\jfree\chart\plot\PlotOrientationTest.java,org.jfree.chart.plot.PlotOrientationTest,class,1,0,1,,1,
